Unnamed: 0.1,Unnamed: 0,domain,url,seed_type,link_type,title,link_type2
2681,2681,7sp.ru,http://7sp.ru/zakupka/mari---odezhda-bolshih-razmerov-170150,product,other,Мари - одежда больших размеров - Семь морей (совместные покупки на Камчатке),product
2682,2682,7snoff.ru,http://7snoff.ru/index.php?route=product/special,product,other,Акции,product
2683,2683,7regalkazino.000webhostapp.com,http://7regalkazino.000webhostapp.com/map1.php,product,other,7regalkazino.000webhostapp.com - Карта сайта,other
2684,2684,6ablon.ru,http://6ablon.ru/consent/,product,other,Политика конфиденциальности,news
2685,2685,7snoff.ru,http://7snoff.ru/index.php?route=account/return/insert,product,other,Возврат товара,2 categorys
2686,2686,6ablon.ru,http://6ablon.ru/shop/producers/,product,other,Производители,other
2687,2687,7snoff.ru,http://7snoff.ru/index.php?route=information/sitemap,product,other,Карта сайта,other
2688,2688,7snoff.ru,http://7snoff.ru/usloviyavozvrata.html,product,other,7snoff.ru - Условия возврата,news
2689,2689,7snoff.ru,http://7snoff.ru/news/,product,other,,news
2690,2690,7snoff.ru,http://7snoff.ru/skatertdlyakuhi/skaterti-optom/,product,other,Скатерти оптом,product
2691,2691,6ablon.ru,http://6ablon.ru/users/restore_password/,product,other,Восстановление пароля,login
2692,2692,7snoff.ru,http://7snoff.ru/index.php?route=product/manufacturer,product,other,Поиск товаров по производителю,product
2693,2693,7snoff.ru,http://7snoff.ru/skatertdlyakuhi/kukhonnye/,product,other,кухонные,other
2694,2694,7snoff.ru,http://7snoff.ru/poleznie-stati.html,product,other,Полезные статьи,other
2695,2695,6ablon.ru,http://6ablon.ru/users/registration/,product,other,Регистрация,login
2696,2696,7snoff.ru,http://7snoff.ru/skatertdlyakuhi/,product,other,Купить скатерть с быстрой доставкой по Москве,"payment, delivery"
2697,2697,7snoff.ru,http://7snoff.ru/polotenca/polotentsa-optom/,product,other,Полотенца оптом,product
2698,2698,7snoff.ru,http://7snoff.ru/polotenca/dlya-litsa/,product,other,Для лица,other
2699,2699,6ablon.ru,http://6ablon.ru/shop/akcii/,product,other,Купить шаблон интернет-магазина на Host CMS | Веб студия Яворского,other
2701,2701,7snoff.ru,http://7snoff.ru/polotenca/detskaya-tematika/,product,other,Детская тематика,other
2704,2704,7snoff.ru,http://7snoff.ru/skatertdlyakuhi/kukhonnye-aksessuary/,product,other,Кухонные аксессуары,product
2705,2705,7snoff.ru,http://7snoff.ru/polotenca/bannye/,product,other,Банные,other
2706,2706,7snoff.ru,http://7snoff.ru/polotenca/,product,other,Купить полотенца с быстрой доставкой по Москве,"payment, delivery"
2707,2707,7snoff.ru,http://7snoff.ru/skatertdlyakuhi/chekhly-dlya-mebeli/,product,other,Чехлы для мебели,product
2708,2708,7snoff.ru,http://7snoff.ru/halaty/zhenskie/,product,other,Женские,other
2709,2709,7snoff.ru,http://7snoff.ru/halaty/detyam/,product,other,Детям,other
2710,2710,7snoff.ru,http://7snoff.ru/halaty/muzhskie/,product,other,Мужские,other
2711,2711,7snoff.ru,http://7snoff.ru/halaty/,product,other,Купить банный махровый халат недорого с быстрой доставкой по Москве,"payment, delivery"
2712,2712,7snoff.ru,http://7snoff.ru/odeyala/evkalipt-rossiya/,product,other,Эвкалипт (Россия),news
2713,2713,7snoff.ru,http://7snoff.ru/odeyala/shelk-kitay/,product,other,Шелк (Китай),other
2714,2714,7snoff.ru,http://7snoff.ru/odeyala/bambuk-rossiya/,product,other,Бамбук (Россия),news
2715,2715,7snoff.ru,http://7snoff.ru/odeyala/verblyuzhka-rossiya/,product,other,Верблюжка (Россия),news
2716,2716,7snoff.ru,http://7snoff.ru/odeyala/bambuk-kitay/,product,other,Бамбук (Китай),other
